name,type,length
,AP,0.000000
,DRIFT,4.380000
,BPM,0.000000
,DRIFT,1.288300
,QUAD,0.406400
,DRIFT,0.146800
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.231850
,QUAD,0.606300
,DRIFT,0.458350
,QUAD,0.307000
,DRIFT,0.196500
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.185000
,BPM,0.000000
,DRIFT,0.484000
,BEND,0.933000
,DRIFT,0.585800
,QUAD,0.406400
,DRIFT,0.158300
,BPM,0.000000
,DRIFT,0.263500
,DRIFT,0.005000
,SEXT,0.190000
,DRIFT,0.005000
,DRIFT,0.195200
,QUAD,0.407600
,DRIFT,0.118700
,BPM,0.000000
,DRIFT,0.116000
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.234700
,QUAD,0.407600
,DRIFT,0.195200
,DRIFT,0.005000
,SEXT,0.190000
,DRIFT,0.005000
,DRIFT,0.421800
,QUAD,0.406400
,DRIFT,0.101800
,BPM,0.000000
,DRIFT,0.484000
,BEND,0.933000
,DRIFT,0.669000
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.196500
,QUAD,0.307000
,DRIFT,0.173000
,BPM,0.000000
,DRIFT,0.285350
,QUAD,0.606300
,DRIFT,0.231850
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.146800
,QUAD,0.406400
,DRIFT,1.288300
,BPM,0.000000
,DRIFT,0.002500
,DRIFT,1.219500
,DRIFT,0.050000
,HCHICA,0.000000
,DRIFT,0.050000
,DRIFT,0.280500
,DRIFT,0.150000
,HTRIM,0.000000
,VTRIM,0.000000
,DRIFT,0.150000
,DRIFT,0.977500
,source,0.000000
,DRIFT,0.977500
,DRIFT,0.150000
,HTRIM,0.000000
,VTRIM,0.000000
,DRIFT,0.150000
,DRIFT,0.054000
,DRIFT,0.050000
,HCHICA,0.000000
,DRIFT,0.050000
,DRIFT,0.907000
,DRIFT,0.050000
,HCHICA,0.000000
,DRIFT,0.050000
,DRIFT,0.339000
,DRIFT,0.002500
,BPM,0.000000
,DRIFT,0.366820
,DRIFT,0.126181
,DRIFT,0.050000
,QUAD,0.250000
,DRIFT,0.112500
,SEXT,0.175000
,DRIFT,0.172500
,QUAD,0.250000
,DRIFT,0.069280
,DRIFT,0.100000
,DRIFT,0.075000
,SEXT,0.175000
,DRIFT,0.075000
,DRIFT,0.100000
,DRIFT,0.112500
,BEND,0.670431
,DRIFT,0.185194
,DRIFT,0.033729
,DRIFT,0.025411
,DRIFT,0.247889
,DRIFT,0.003000
,DRIFT,0.055324
,BPM,0.000000
,DRIFT,0.055173
,SEXT,0.175000
,DRIFT,0.088380
,QUAD,0.250000
,DRIFT,0.031123
,DRIFT,0.003000
,DRIFT,0.115877
,SEXT,0.175000
,DRIFT,0.150000
,QUAD,0.250000
,DRIFT,0.088380
,SEXT,0.175000
,DRIFT,0.042543
,DRIFT,0.003000
,DRIFT,0.112894
,BPM,0.000000
,DRIFT,0.229063
,BEND,0.966928
,DRIFT,0.068240
,DRIFT,0.073540
,HSTR,0.000000
,VSTR,0.000000
,DRIFT,0.096600
,QUAD,0.250000
,DRIFT,0.000010
,DRIFT,0.000000
,DRIFT,0.011240
,DRIFT,0.206000
,BPM,0.000000
,DRIFT,0.114000
,DRIFT,0.368750
,DRIFT,1.000000
,source,0.000000
,DRIFT,1.000000
,DRIFT,0.375420
,DRIFT,0.107330
,BPM,0.000000
,DRIFT,0.217250
,QUAD,0.250000
,DRIFT,0.096600
,HSTR,0.000000
,VSTR,0.000000
,DRIFT,0.036080
,DRIFT,0.003000
,DRIFT,0.102700
,BEND,0.966928
,DRIFT,0.037500
,DRIFT,0.141042
,DRIFT,0.033728
,DRIFT,0.024583
,DRIFT,0.038147
,DRIFT,0.112500
,SEXT,0.175000
,DRIFT,0.088380
,QUAD,0.250000
,DRIFT,0.020890
,DRIFT,0.003000
,DRIFT,0.075286
,BPM,0.000000
,DRIFT,0.050824
,SEXT,0.175000
,DRIFT,0.150000
,QUAD,0.250000
,DRIFT,0.088380
,SEXT,0.175000
,DRIFT,0.269070
,DRIFT,0.003000
,DRIFT,0.103390
,BPM,0.000000
,DRIFT,0.230260
,BEND,0.670431
,DRIFT,0.112500
,DRIFT,0.050309
,DRIFT,0.049691
,DRIFT,0.075000
,SEXT,0.175000
,DRIFT,0.075000
,DRIFT,0.100000
,DRIFT,0.069280
,QUAD,0.250000
,DRIFT,0.000559
,DRIFT,0.003000
,DRIFT,0.168941
,SEXT,0.175000
,DRIFT,0.112500
,QUAD,0.250000
,DRIFT,0.061559
,DRIFT,0.003000
,DRIFT,0.113000
,DRIFT,0.048442
,DRIFT,0.086001
,DRIFT,0.130999
,DRIFT,0.100000
,BPM,0.000000
,DRIFT,0.002500
,DRIFT,1.119500
,DRIFT,0.050000
,HCHICA,0.000000
,DRIFT,0.050000
,DRIFT,0.281500
,DRIFT,0.150000
,HTRIM,0.000000
,VTRIM,0.000000
,DRIFT,0.150000
,DRIFT,0.976500
,source,0.000000
,DRIFT,0.976500
,DRIFT,0.150000
,HTRIM,0.000000
,VTRIM,0.000000
,DRIFT,0.150000
,DRIFT,0.055000
,DRIFT,0.050000
,HCHICA,0.000000
,DRIFT,0.050000
,DRIFT,0.907000
,DRIFT,0.050000
,HCHICA,0.000000
,DRIFT,0.050000
,DRIFT,0.439000
,DRIFT,0.002500
,BPM,0.000000
,DRIFT,1.288300
,QUAD,0.406400
,DRIFT,0.146800
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.231850
,QUAD,0.606300
,DRIFT,0.458350
,QUAD,0.307000
,DRIFT,0.196500
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.185000
,BPM,0.000000
,DRIFT,0.484000
,BEND,0.933000
,DRIFT,0.585800
,QUAD,0.406400
,DRIFT,0.158300
,BPM,0.000000
,DRIFT,0.263500
,DRIFT,0.005000
,SEXT,0.190000
,DRIFT,0.005000
,DRIFT,0.195200
,QUAD,0.407600
,DRIFT,0.118700
,BPM,0.000000
,DRIFT,0.116000
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.234700
,QUAD,0.407600
,DRIFT,0.195200
,DRIFT,0.005000
,SEXT,0.190000
,DRIFT,0.005000
,DRIFT,0.421800
,QUAD,0.406400
,DRIFT,0.101800
,BPM,0.000000
,DRIFT,0.484000
,BEND,0.933000
,DRIFT,0.669000
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.196500
,QUAD,0.307000
,DRIFT,0.173000
,BPM,0.000000
,DRIFT,0.285350
,QUAD,0.606300
,DRIFT,0.231850
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.146800
,QUAD,0.406400
,DRIFT,1.288300
,BPM,0.000000
,DRIFT,0.002500
,DRIFT,1.219500
,DRIFT,0.050000
,HCHICA,0.000000
,DRIFT,0.050000
,DRIFT,0.280500
,DRIFT,0.150000
,HTRIM,0.000000
,VTRIM,0.000000
,DRIFT,0.150000
,DRIFT,0.977500
,source,0.000000
,DRIFT,0.977500
,DRIFT,0.150000
,HTRIM,0.000000
,VTRIM,0.000000
,DRIFT,0.150000
,DRIFT,0.054000
,DRIFT,0.050000
,HCHICA,0.000000
,DRIFT,0.050000
,DRIFT,0.150000
,HTRIM,0.000000
,VTRIM,0.000000
,DRIFT,0.150000
,DRIFT,0.153500
,source,0.000000
,DRIFT,0.153500
,DRIFT,0.150000
,HTRIM,0.000000
,VTRIM,0.000000
,DRIFT,0.150000
,DRIFT,0.050000
,HCHICA,0.000000
,DRIFT,0.050000
,DRIFT,0.439000
,DRIFT,0.002500
,BPM,0.000000
,DRIFT,1.288300
,QUAD,0.406400
,DRIFT,0.146800
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.231850
,QUAD,0.606300
,DRIFT,0.458350
,QUAD,0.307000
,DRIFT,0.196500
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.185000
,BPM,0.000000
,DRIFT,0.484000
,BEND,0.933000
,DRIFT,0.585800
,QUAD,0.406400
,DRIFT,0.158300
,BPM,0.000000
,DRIFT,0.263500
,DRIFT,0.005000
,SEXT,0.190000
,DRIFT,0.005000
,DRIFT,0.195200
,QUAD,0.407600
,DRIFT,0.118700
,BPM,0.000000
,DRIFT,0.116000
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.234700
,QUAD,0.407600
,DRIFT,0.195200
,DRIFT,0.005000
,SEXT,0.190000
,DRIFT,0.005000
,DRIFT,0.421800
,QUAD,0.406400
,DRIFT,0.101800
,BPM,0.000000
,DRIFT,0.484000
,BEND,0.933000
,DRIFT,0.669000
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.196500
,QUAD,0.307000
,DRIFT,0.173000
,BPM,0.000000
,DRIFT,0.285350
,QUAD,0.606300
,DRIFT,0.231850
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.146800
,QUAD,0.406400
,DRIFT,1.288300
,BPM,0.000000
,DRIFT,0.002500
,DRIFT,1.172500
,DRIFT,0.150000
,HTRIM,0.000000
,VTRIM,0.000000
,DRIFT,0.150000
,DRIFT,2.905000
,source,0.000000
,DRIFT,2.905000
,DRIFT,0.150000
,HTRIM,0.000000
,VTRIM,0.000000
,DRIFT,0.150000
,AP,0.000000
,DRIFT,1.172500
,DRIFT,0.002500
,BPM,0.000000
,DRIFT,1.288300
,QUAD,0.406400
,DRIFT,0.146800
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.231850
,QUAD,0.606300
,DRIFT,0.458350
,QUAD,0.307000
,DRIFT,0.196500
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.185000
,BPM,0.000000
,DRIFT,0.484000
,BEND,0.933000
,DRIFT,0.585800
,QUAD,0.406400
,DRIFT,0.158300
,BPM,0.000000
,DRIFT,0.263500
,DRIFT,0.005000
,SEXT,0.190000
,DRIFT,0.005000
,DRIFT,0.195200
,QUAD,0.407600
,DRIFT,0.118700
,BPM,0.000000
,DRIFT,0.116000
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.234700
,QUAD,0.407600
,DRIFT,0.195200
,DRIFT,0.005000
,SEXT,0.190000
,DRIFT,0.005000
,DRIFT,0.421800
,QUAD,0.406400
,DRIFT,0.101800
,BPM,0.000000
,DRIFT,0.484000
,BEND,0.933000
,DRIFT,0.669000
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.196500
,QUAD,0.307000
,DRIFT,0.173000
,BPM,0.000000
,DRIFT,0.285350
,QUAD,0.606300
,DRIFT,0.231850
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.146800
,QUAD,0.406400
,DRIFT,1.288300
,BPM,0.000000
,DRIFT,0.002500
,DRIFT,0.465500
,DRIFT,0.075000
,HTRIM,0.000000
,VTRIM,0.000000
,DRIFT,0.075000
,DRIFT,1.056000
,source,0.000000
,DRIFT,1.056000
,DRIFT,0.075000
,HTRIM,0.000000
,VTRIM,0.000000
,DRIFT,0.075000
,DRIFT,0.075000
,HTRIM,0.000000
,VTRIM,0.000000
,DRIFT,0.075000
,DRIFT,1.056000
,source,0.000000
,DRIFT,1.056000
,DRIFT,0.075000
,HTRIM,0.000000
,VTRIM,0.000000
,DRIFT,0.075000
,DRIFT,0.465500
,DRIFT,0.002500
,BPM,0.000000
,DRIFT,1.288300
,QUAD,0.406400
,DRIFT,0.146800
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.231850
,QUAD,0.606300
,DRIFT,0.458350
,QUAD,0.307000
,DRIFT,0.196500
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.185000
,BPM,0.000000
,DRIFT,0.484000
,BEND,0.933000
,DRIFT,0.585800
,QUAD,0.406400
,DRIFT,0.158300
,BPM,0.000000
,DRIFT,0.263500
,DRIFT,0.005000
,SEXT,0.190000
,DRIFT,0.005000
,DRIFT,0.195200
,QUAD,0.407600
,DRIFT,0.118700
,BPM,0.000000
,DRIFT,0.116000
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.234700
,QUAD,0.407600
,DRIFT,0.195200
,DRIFT,0.005000
,SEXT,0.190000
,DRIFT,0.005000
,DRIFT,0.421800
,QUAD,0.406400
,DRIFT,0.101800
,BPM,0.000000
,DRIFT,0.484000
,BEND,0.933000
,DRIFT,0.669000
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.196500
,QUAD,0.307000
,DRIFT,0.173000
,BPM,0.000000
,DRIFT,0.285350
,QUAD,0.606300
,DRIFT,0.231850
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.146800
,QUAD,0.406400
,DRIFT,1.288300
,BPM,0.000000
,DRIFT,0.002500
,DRIFT,1.219500
,DRIFT,0.050000
,HCHICA,0.000000
,DRIFT,0.050000
,DRIFT,0.280500
,DRIFT,0.150000
,HTRIM,0.000000
,VTRIM,0.000000
,DRIFT,0.150000
,DRIFT,0.977500
,source,0.000000
,DRIFT,0.977500
,DRIFT,0.150000
,HTRIM,0.000000
,VTRIM,0.000000
,DRIFT,0.150000
,DRIFT,0.054000
,DRIFT,0.050000
,HCHICA,0.000000
,DRIFT,0.050000
,DRIFT,0.907000
,DRIFT,0.050000
,HCHICA,0.000000
,DRIFT,0.050000
,DRIFT,0.439000
,DRIFT,0.002500
,BPM,0.000000
,DRIFT,1.288300
,QUAD,0.406400
,DRIFT,0.146800
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.231850
,QUAD,0.606300
,DRIFT,0.458350
,QUAD,0.307000
,DRIFT,0.196500
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.185000
,BPM,0.000000
,DRIFT,0.484000
,BEND,0.933000
,DRIFT,0.585800
,QUAD,0.406400
,DRIFT,0.158300
,BPM,0.000000
,DRIFT,0.263500
,DRIFT,0.005000
,SEXT,0.190000
,DRIFT,0.005000
,DRIFT,0.195200
,QUAD,0.407600
,DRIFT,0.118700
,BPM,0.000000
,DRIFT,0.116000
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.234700
,QUAD,0.407600
,DRIFT,0.195200
,DRIFT,0.005000
,SEXT,0.190000
,DRIFT,0.005000
,DRIFT,0.421800
,QUAD,0.406400
,DRIFT,0.101800
,BPM,0.000000
,DRIFT,0.484000
,source,0.000000
,BEND,0.933000
,DRIFT,0.669000
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.196500
,QUAD,0.307000
,DRIFT,0.173000
,BPM,0.000000
,DRIFT,0.285350
,QUAD,0.606300
,DRIFT,0.231850
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.146800
,QUAD,0.406400
,DRIFT,1.288300
,BPM,0.000000
,DRIFT,0.002500
,DRIFT,0.150000
,HTRIM,0.000000
,VTRIM,0.000000
,DRIFT,0.150000
,DRIFT,2.577500
,source,0.000000
,DRIFT,2.577500
,DRIFT,0.150000
,HTRIM,0.000000
,VTRIM,0.000000
,DRIFT,0.150000
,DRIFT,0.002500
,BPM,0.000000
,DRIFT,1.288300
,QUAD,0.406400
,DRIFT,0.146800
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.231850
,QUAD,0.606300
,DRIFT,0.458350
,QUAD,0.307000
,DRIFT,0.196500
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.185000
,BPM,0.000000
,DRIFT,0.484000
,BEND,0.933000
,DRIFT,0.585800
,QUAD,0.406400
,DRIFT,0.158300
,BPM,0.000000
,DRIFT,0.263500
,DRIFT,0.005000
,SEXT,0.190000
,DRIFT,0.005000
,DRIFT,0.195200
,QUAD,0.407600
,DRIFT,0.118700
,BPM,0.000000
,DRIFT,0.116000
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.234700
,QUAD,0.407600
,DRIFT,0.195200
,DRIFT,0.005000
,SEXT,0.190000
,DRIFT,0.005000
,DRIFT,0.421800
,QUAD,0.406400
,DRIFT,0.101800
,BPM,0.000000
,DRIFT,0.484000
,BEND,0.933000
,DRIFT,0.669000
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.196500
,QUAD,0.307000
,DRIFT,0.173000
,BPM,0.000000
,DRIFT,0.285350
,QUAD,0.606300
,DRIFT,0.231850
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.146800
,QUAD,0.406400
,DRIFT,0.288340
,QUAD,0.300000
,DRIFT,0.152700
,DRIFT,0.050000
,HCHICA,0.000000
,DRIFT,0.050000
,DRIFT,0.310760
,BPM,0.000000
,DRIFT,0.150000
,HTRIM,0.000000
,VTRIM,0.000000
,DRIFT,0.150000
,DRIFT,1.202995
,source,0.000000
,DRIFT,1.202995
,DRIFT,0.150000
,HTRIM,0.000000
,VTRIM,0.000000
,DRIFT,0.150000
,BPM,0.000000
,DRIFT,0.260100
,HSTR,0.000000
,VSTR,0.000000
,DRIFT,0.564080
,DRIFT,0.050000
,HCHICA,0.000000
,DRIFT,0.050000
,DRIFT,0.386070
,QUAD,0.600000
,DRIFT,0.200000
,QUAD,0.400000
,DRIFT,0.092530
,BPM,0.000000
,DRIFT,0.080890
,HSTR,0.000000
,VSTR,0.000000
,DRIFT,0.150000
,HTRIM,0.000000
,VTRIM,0.000000
,DRIFT,0.150000
,DRIFT,1.426070
,source,0.000000
,DRIFT,1.426070
,DRIFT,0.150000
,HTRIM,0.000000
,VTRIM,0.000000
,DRIFT,0.150000
,BPM,0.000000
,DRIFT,0.308440
,DRIFT,0.050000
,HCHICA,0.000000
,DRIFT,0.050000
,DRIFT,0.137760
,QUAD,0.300000
,DRIFT,0.196800
,QUAD,0.406400
,DRIFT,0.146800
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.231850
,QUAD,0.606300
,DRIFT,0.458350
,QUAD,0.307000
,DRIFT,0.196500
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.185000
,BPM,0.000000
,DRIFT,0.484000
,BEND,0.933000
,DRIFT,0.585800
,QUAD,0.406400
,DRIFT,0.158300
,BPM,0.000000
,DRIFT,0.263500
,DRIFT,0.005000
,SEXT,0.190000
,DRIFT,0.005000
,DRIFT,0.195200
,QUAD,0.407600
,DRIFT,0.118700
,BPM,0.000000
,DRIFT,0.116000
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.234700
,QUAD,0.407600
,DRIFT,0.195200
,DRIFT,0.005000
,SEXT,0.190000
,DRIFT,0.005000
,DRIFT,0.421800
,QUAD,0.406400
,DRIFT,0.101800
,BPM,0.000000
,DRIFT,0.484000
,BEND,0.933000
,DRIFT,0.669000
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.196500
,QUAD,0.307000
,DRIFT,0.173000
,BPM,0.000000
,DRIFT,0.285350
,QUAD,0.606300
,DRIFT,0.231850
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.146800
,QUAD,0.406400
,DRIFT,0.150600
,BPM,0.000000
,DRIFT,0.234100
,DRIFT,0.050000
,HCHICA,0.000000
,DRIFT,0.050000
,DRIFT,0.727600
,DRIFT,0.050000
,HCHICA,0.000000
,DRIFT,0.050000
,DRIFT,0.539000
,DRIFT,0.150000
,HTRIM,0.000000
,VTRIM,0.000000
,DRIFT,0.150000
,DRIFT,0.785000
,source,0.000000
,DRIFT,0.785000
,DRIFT,0.150000
,HTRIM,0.000000
,VTRIM,0.000000
,DRIFT,0.150000
,DRIFT,0.059500
,BPM10,0.000000
,DRIFT,0.037500
,DRIFT,0.050000
,HCHICA,0.000000
,DRIFT,0.050000
,DRIFT,0.037500
,BPM10,0.000000
,DRIFT,0.059500
,DRIFT,0.150000
,HTRIM,0.000000
,VTRIM,0.000000
,DRIFT,0.150000
,DRIFT,0.785000
,source,0.000000
,DRIFT,0.785000
,DRIFT,0.150000
,HTRIM,0.000000
,VTRIM,0.000000
,DRIFT,0.150000
,DRIFT,0.539000
,DRIFT,0.050000
,HCHICA,0.000000
,DRIFT,0.050000
,DRIFT,0.727600
,DRIFT,0.050000
,HCHICA,0.000000
,DRIFT,0.050000
,DRIFT,0.234600
,BPM,0.000000
,DRIFT,0.150100
,QUAD,0.406400
,DRIFT,0.146800
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.231850
,QUAD,0.606300
,DRIFT,0.458350
,QUAD,0.307000
,DRIFT,0.196500
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.185000
,BPM,0.000000
,DRIFT,0.484000
,BEND,0.933000
,DRIFT,0.585800
,QUAD,0.406400
,DRIFT,0.158300
,BPM,0.000000
,DRIFT,0.263500
,DRIFT,0.005000
,SEXT,0.190000
,DRIFT,0.005000
,DRIFT,0.195200
,QUAD,0.407600
,DRIFT,0.118700
,BPM,0.000000
,DRIFT,0.116000
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.234700
,QUAD,0.407600
,DRIFT,0.195200
,DRIFT,0.005000
,SEXT,0.190000
,DRIFT,0.005000
,DRIFT,0.421800
,QUAD,0.406400
,DRIFT,0.101800
,BPM,0.000000
,DRIFT,0.484000
,BEND,0.933000
,DRIFT,0.669000
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.196500
,QUAD,0.307000
,DRIFT,0.173000
,BPM,0.000000
,DRIFT,0.285350
,QUAD,0.606300
,DRIFT,0.231850
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.146800
,QUAD,0.406400
,DRIFT,1.288300
,BPM,0.000000
,DRIFT,0.002500
,DRIFT,0.150000
,HTRIM,0.000000
,VTRIM,0.000000
,DRIFT,0.150000
,DRIFT,2.577500
,source,0.000000
,DRIFT,2.577500
,DRIFT,0.150000
,HTRIM,0.000000
,VTRIM,0.000000
,DRIFT,0.150000
,DRIFT,0.002500
,BPM,0.000000
,DRIFT,1.288300
,QUAD,0.406400
,DRIFT,0.146800
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.231850
,QUAD,0.606300
,DRIFT,0.458350
,QUAD,0.307000
,DRIFT,0.196500
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.185000
,BPM,0.000000
,DRIFT,0.484000
,BEND,0.933000
,DRIFT,0.585800
,QUAD,0.406400
,DRIFT,0.158300
,BPM,0.000000
,DRIFT,0.263500
,DRIFT,0.005000
,SEXT,0.190000
,DRIFT,0.005000
,DRIFT,0.195200
,QUAD,0.407600
,DRIFT,0.118700
,BPM,0.000000
,DRIFT,0.116000
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.234700
,QUAD,0.407600
,DRIFT,0.195200
,DRIFT,0.005000
,DRIFT,0.190000
,DRIFT,0.000000
,DRIFT,0.000000
,DRIFT,0.005000
,DRIFT,0.421800
,QUAD,0.406400
,DRIFT,0.101800
,BPM,0.000000
,DRIFT,0.484000
,BEND,0.933000
,DRIFT,0.669000
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.196500
,QUAD,0.307000
,DRIFT,0.173000
,BPM,0.000000
,DRIFT,0.285350
,QUAD,0.606300
,DRIFT,0.231850
,DRIFT,0.005000
,SEXT,0.290000
,DRIFT,0.005000
,DRIFT,0.146800
,QUAD,0.406400
,DRIFT,1.288300
,BPM,0.000000
,DRIFT,0.002500
,DRIFT,2.002500
,DRIFT,0.150000
,HTRIM,0.000000
,VTRIM,0.000000
,DRIFT,0.150000
,MPW12,1.150000
,DRIFT,0.150000
,HTRIM,0.000000
,VTRIM,0.000000
