el_id,field,uc_type,uc_id
0,energy,poly,0
5,b1,pchip,1
404,b1,pchip,1
425,b1,pchip,1
747,b1,pchip,1
803,b1,pchip,1
1133,b1,pchip,1
1189,b1,pchip,1
1486,b1,pchip,1
1495,b1,pchip,1
1823,b1,pchip,1
1841,b1,pchip,1
2139,b1,pchip,1
11,b1,pchip,2
398,b1,pchip,2
431,b1,pchip,2
741,b1,pchip,2
809,b1,pchip,2
1127,b1,pchip,2
1195,b1,pchip,2
1480,b1,pchip,2
1501,b1,pchip,2
1817,b1,pchip,2
1847,b1,pchip,2
2133,b1,pchip,2
13,b1,pchip,3
394,b1,pchip,3
433,b1,pchip,3
737,b1,pchip,3
811,b1,pchip,3
1123,b1,pchip,3
1197,b1,pchip,3
1476,b1,pchip,3
1503,b1,pchip,3
1813,b1,pchip,3
1849,b1,pchip,3
2129,b1,pchip,3
23,b1,pchip,4
384,b1,pchip,4
443,b1,pchip,4
727,b1,pchip,4
821,b1,pchip,4
1113,b1,pchip,4
1207,b1,pchip,4
1465,b1,pchip,4
1513,b1,pchip,4
1803,b1,pchip,4
1859,b1,pchip,4
2118,b1,pchip,4
31,b1,pchip,5
378,b1,pchip,5
451,b1,pchip,5
721,b1,pchip,5
829,b1,pchip,5
1107,b1,pchip,5
1215,b1,pchip,5
1459,b1,pchip,5
1521,b1,pchip,5
1797,b1,pchip,5
1867,b1,pchip,5
2112,b1,pchip,5
39,b1,pchip,6
268,b1,pchip,6
276,b1,pchip,6
370,b1,pchip,6
459,b1,pchip,6
542,b1,pchip,6
550,b1,pchip,6
634,b1,pchip,6
642,b1,pchip,6
713,b1,pchip,6
837,b1,pchip,6
943,b1,pchip,6
951,b1,pchip,6
1021,b1,pchip,6
1029,b1,pchip,6
1099,b1,pchip,6
1223,b1,pchip,6
1293,b1,pchip,6
1301,b1,pchip,6
1371,b1,pchip,6
1379,b1,pchip,6
1451,b1,pchip,6
1529,b1,pchip,6
1601,b1,pchip,6
1609,b1,pchip,6
1680,b1,pchip,6
1688,b1,pchip,6
1789,b1,pchip,6
1875,b1,pchip,6
1946,b1,pchip,6
1954,b1,pchip,6
2025,b1,pchip,6
2033,b1,pchip,6
2104,b1,pchip,6
45,b1,pchip,7
260,b1,pchip,7
282,b1,pchip,7
362,b1,pchip,7
465,b1,pchip,7
534,b1,pchip,7
556,b1,pchip,7
626,b1,pchip,7
648,b1,pchip,7
705,b1,pchip,7
843,b1,pchip,7
935,b1,pchip,7
957,b1,pchip,7
1013,b1,pchip,7
1035,b1,pchip,7
1091,b1,pchip,7
1229,b1,pchip,7
1285,b1,pchip,7
1307,b1,pchip,7
1363,b1,pchip,7
1385,b1,pchip,7
1443,b1,pchip,7
1535,b1,pchip,7
1593,b1,pchip,7
1615,b1,pchip,7
1672,b1,pchip,7
1694,b1,pchip,7
1781,b1,pchip,7
1881,b1,pchip,7
1938,b1,pchip,7
1960,b1,pchip,7
2017,b1,pchip,7
2039,b1,pchip,7
2096,b1,pchip,7
55,b1,pchip,8
250,b1,pchip,8
292,b1,pchip,8
352,b1,pchip,8
475,b1,pchip,8
524,b1,pchip,8
566,b1,pchip,8
616,b1,pchip,8
659,b1,pchip,8
695,b1,pchip,8
853,b1,pchip,8
925,b1,pchip,8
967,b1,pchip,8
1003,b1,pchip,8
1045,b1,pchip,8
1081,b1,pchip,8
1239,b1,pchip,8
1275,b1,pchip,8
1317,b1,pchip,8
1353,b1,pchip,8
1395,b1,pchip,8
1433,b1,pchip,8
1545,b1,pchip,8
1583,b1,pchip,8
1626,b1,pchip,8
1662,b1,pchip,8
1704,b1,pchip,8
1771,b1,pchip,8
1892,b1,pchip,8
1928,b1,pchip,8
1971,b1,pchip,8
2007,b1,pchip,8
2050,b1,pchip,8
2086,b1,pchip,8
59,b1,pchip,9
248,b1,pchip,9
296,b1,pchip,9
350,b1,pchip,9
479,b1,pchip,9
522,b1,pchip,9
570,b1,pchip,9
614,b1,pchip,9
663,b1,pchip,9
693,b1,pchip,9
857,b1,pchip,9
923,b1,pchip,9
971,b1,pchip,9
1001,b1,pchip,9
1049,b1,pchip,9
1079,b1,pchip,9
1243,b1,pchip,9
1273,b1,pchip,9
1321,b1,pchip,9
1351,b1,pchip,9
1399,b1,pchip,9
1431,b1,pchip,9
1549,b1,pchip,9
1581,b1,pchip,9
1630,b1,pchip,9
1660,b1,pchip,9
1708,b1,pchip,9
1769,b1,pchip,9
1896,b1,pchip,9
1926,b1,pchip,9
1975,b1,pchip,9
2005,b1,pchip,9
2054,b1,pchip,9
2084,b1,pchip,9
65,b1,pchip,10
242,b1,pchip,10
302,b1,pchip,10
344,b1,pchip,10
485,b1,pchip,10
516,b1,pchip,10
576,b1,pchip,10
608,b1,pchip,10
669,b1,pchip,10
687,b1,pchip,10
863,b1,pchip,10
917,b1,pchip,10
977,b1,pchip,10
995,b1,pchip,10
1055,b1,pchip,10
1073,b1,pchip,10
1249,b1,pchip,10
1267,b1,pchip,10
1327,b1,pchip,10
1345,b1,pchip,10
1405,b1,pchip,10
1425,b1,pchip,10
1555,b1,pchip,10
1575,b1,pchip,10
1636,b1,pchip,10
1654,b1,pchip,10
1714,b1,pchip,10
1763,b1,pchip,10
1902,b1,pchip,10
1920,b1,pchip,10
1981,b1,pchip,10
1999,b1,pchip,10
2060,b1,pchip,10
2078,b1,pchip,10
99,b1,pchip,11
204,b1,pchip,12
103,b1,pchip,13
198,b1,pchip,14
122,b1,pchip,15
128,b1,pchip,16
173,b1,pchip,17
181,b1,pchip,18
142,b1,pchip,19
157,b1,pchip,20
749,b1,pchip,21
776,b1,pchip,22
778,b1,pchip,23
801,b1,pchip,24
1135,b1,pchip,25
1162,b1,pchip,26
1164,b1,pchip,27
1187,b1,pchip,28
8,b2,pchip,29
401,b2,pchip,29
428,b2,pchip,29
744,b2,pchip,29
806,b2,pchip,29
1130,b2,pchip,29
1192,b2,pchip,29
1483,b2,pchip,29
1498,b2,pchip,29
1820,b2,pchip,29
1844,b2,pchip,29
2136,b2,pchip,29
16,b2,pchip,30
391,b2,pchip,30
436,b2,pchip,30
734,b2,pchip,30
814,b2,pchip,30
1120,b2,pchip,30
1200,b2,pchip,30
1473,b2,pchip,30
1506,b2,pchip,30
1810,b2,pchip,30
1852,b2,pchip,30
2126,b2,pchip,30
28,b2,pchip,31
42,b2,pchip,32
265,b2,pchip,33
279,b2,pchip,34
367,b2,pchip,35
381,b2,pchip,36
448,b2,pchip,37
462,b2,pchip,38
539,b2,pchip,39
553,b2,pchip,40
631,b2,pchip,41
645,b2,pchip,42
710,b2,pchip,43
724,b2,pchip,44
826,b2,pchip,45
840,b2,pchip,46
940,b2,pchip,47
954,b2,pchip,48
1018,b2,pchip,49
1032,b2,pchip,50
1096,b2,pchip,51
1110,b2,pchip,52
1212,b2,pchip,53
1226,b2,pchip,54
1290,b2,pchip,55
1304,b2,pchip,56
1368,b2,pchip,57
1382,b2,pchip,58
1448,b2,pchip,59
1462,b2,pchip,60
1518,b2,pchip,61
1532,b2,pchip,62
1598,b2,pchip,63
1612,b2,pchip,64
1677,b2,pchip,65
1691,b2,pchip,66
1786,b2,pchip,67
1800,b2,pchip,68
1864,b2,pchip,69
1878,b2,pchip,70
1943,b2,pchip,71
1957,b2,pchip,72
2022,b2,pchip,73
2036,b2,pchip,74
2101,b2,pchip,75
2115,b2,pchip,76
36,b2,pchip,77
273,b2,pchip,77
375,b2,pchip,77
456,b2,pchip,77
547,b2,pchip,77
639,b2,pchip,77
718,b2,pchip,77
834,b2,pchip,77
948,b2,pchip,77
1026,b2,pchip,77
1104,b2,pchip,77
1220,b2,pchip,77
1298,b2,pchip,77
1376,b2,pchip,77
1456,b2,pchip,77
1526,b2,pchip,77
1606,b2,pchip,77
1685,b2,pchip,77
1794,b2,pchip,77
1872,b2,pchip,77
1951,b2,pchip,77
2030,b2,pchip,77
2109,b2,pchip,77
52,b2,pchip,78
355,b2,pchip,78
472,b2,pchip,78
698,b2,pchip,78
850,b2,pchip,78
1084,b2,pchip,78
1236,b2,pchip,78
1436,b2,pchip,78
1542,b2,pchip,78
1774,b2,pchip,78
1889,b2,pchip,78
2089,b2,pchip,78
62,b2,pchip,79
347,b2,pchip,79
482,b2,pchip,79
690,b2,pchip,79
860,b2,pchip,79
1076,b2,pchip,79
1246,b2,pchip,79
1428,b2,pchip,79
1552,b2,pchip,79
1766,b2,pchip,79
1899,b2,pchip,79
2081,b2,pchip,79
101,b2,pchip,80
202,b2,pchip,81
107,b2,pchip,82
194,b2,pchip,83
120,b2,pchip,84
130,b2,pchip,85
171,b2,pchip,86
183,b2,pchip,87
126,b2,pchip,88
179,b2,pchip,89
245,b2,pchip,90
299,b2,pchip,90
519,b2,pchip,90
573,b2,pchip,90
611,b2,pchip,90
666,b2,pchip,90
920,b2,pchip,90
974,b2,pchip,90
998,b2,pchip,90
1052,b2,pchip,90
1270,b2,pchip,90
1324,b2,pchip,90
1348,b2,pchip,90
1402,b2,pchip,90
1578,b2,pchip,90
1633,b2,pchip,90
1657,b2,pchip,90
1711,b2,pchip,90
1923,b2,pchip,90
1978,b2,pchip,90
2002,b2,pchip,90
2057,b2,pchip,90
253,b2,pchip,91
289,b2,pchip,92
527,b2,pchip,93
563,b2,pchip,94
619,b2,pchip,95
656,b2,pchip,96
928,b2,pchip,97
964,b2,pchip,98
1006,b2,pchip,99
1042,b2,pchip,100
1278,b2,pchip,101
1314,b2,pchip,102
1356,b2,pchip,103
1392,b2,pchip,104
1586,b2,pchip,105
1623,b2,pchip,106
1665,b2,pchip,107
1701,b2,pchip,108
1931,b2,pchip,109
1968,b2,pchip,110
2010,b2,pchip,111
2047,b2,pchip,112
21,b0,pchip,113
49,b0,pchip,113
111,b0,pchip,113
136,b0,pchip,113
164,b0,pchip,113
189,b0,pchip,113
258,b0,pchip,113
286,b0,pchip,113
360,b0,pchip,113
388,b0,pchip,113
441,b0,pchip,113
469,b0,pchip,113
532,b0,pchip,113
560,b0,pchip,113
624,b0,pchip,113
653,b0,pchip,113
703,b0,pchip,113
731,b0,pchip,113
819,b0,pchip,113
847,b0,pchip,113
933,b0,pchip,113
961,b0,pchip,113
1011,b0,pchip,113
1039,b0,pchip,113
1089,b0,pchip,113
1117,b0,pchip,113
1205,b0,pchip,113
1233,b0,pchip,113
1283,b0,pchip,113
1311,b0,pchip,113
1361,b0,pchip,113
1389,b0,pchip,113
1441,b0,pchip,113
1470,b0,pchip,113
1511,b0,pchip,113
1539,b0,pchip,113
1591,b0,pchip,113
1620,b0,pchip,113
1670,b0,pchip,113
1698,b0,pchip,113
1779,b0,pchip,113
1807,b0,pchip,113
1857,b0,pchip,113
1886,b0,pchip,113
1936,b0,pchip,113
1965,b0,pchip,113
2015,b0,pchip,113
2044,b0,pchip,113
2094,b0,pchip,113
2123,b0,pchip,113
111,b0,pchip,114
189,b0,pchip,114
136,b0,pchip,115
164,b0,pchip,115
3,x,poly,116
3,y,poly,116
19,x,poly,116
19,y,poly,116
25,x,poly,116
25,y,poly,116
33,x,poly,116
33,y,poly,116
47,x,poly,116
47,y,poly,116
57,x,poly,116
57,y,poly,116
67,x,poly,116
67,y,poly,116
95,x,poly,116
95,y,poly,116
118,x,poly,116
118,y,poly,116
134,x,poly,116
134,y,poly,116
147,x,poly,116
147,y,poly,116
155,x,poly,116
155,y,poly,116
177,x,poly,116
177,y,poly,116
187,x,poly,116
187,y,poly,116
212,x,poly,116
212,y,poly,116
240,x,poly,116
240,y,poly,116
256,x,poly,116
256,y,poly,116
262,x,poly,116
262,y,poly,116
270,x,poly,116
270,y,poly,116
284,x,poly,116
284,y,poly,116
294,x,poly,116
294,y,poly,116
304,x,poly,116
304,y,poly,116
342,x,poly,116
342,y,poly,116
358,x,poly,116
358,y,poly,116
364,x,poly,116
364,y,poly,116
372,x,poly,116
372,y,poly,116
386,x,poly,116
386,y,poly,116
396,x,poly,116
396,y,poly,116
406,x,poly,116
406,y,poly,116
423,x,poly,116
423,y,poly,116
439,x,poly,116
439,y,poly,116
445,x,poly,116
445,y,poly,116
453,x,poly,116
453,y,poly,116
467,x,poly,116
467,y,poly,116
477,x,poly,116
477,y,poly,116
487,x,poly,116
487,y,poly,116
514,x,poly,116
514,y,poly,116
530,x,poly,116
530,y,poly,116
536,x,poly,116
536,y,poly,116
544,x,poly,116
544,y,poly,116
558,x,poly,116
558,y,poly,116
568,x,poly,116
568,y,poly,116
578,x,poly,116
578,y,poly,116
606,x,poly,116
606,y,poly,116
622,x,poly,116
622,y,poly,116
628,x,poly,116
628,y,poly,116
636,x,poly,116
636,y,poly,116
650,x,poly,116
650,y,poly,116
661,x,poly,116
661,y,poly,116
671,x,poly,116
671,y,poly,116
685,x,poly,116
685,y,poly,116
701,x,poly,116
701,y,poly,116
707,x,poly,116
707,y,poly,116
715,x,poly,116
715,y,poly,116
729,x,poly,116
729,y,poly,116
739,x,poly,116
739,y,poly,116
755,x,poly,116
755,y,poly,116
767,x,poly,116
767,y,poly,116
780,x,poly,116
780,y,poly,116
795,x,poly,116
795,y,poly,116
817,x,poly,116
817,y,poly,116
823,x,poly,116
823,y,poly,116
831,x,poly,116
831,y,poly,116
845,x,poly,116
845,y,poly,116
855,x,poly,116
855,y,poly,116
865,x,poly,116
865,y,poly,116
915,x,poly,116
915,y,poly,116
931,x,poly,116
931,y,poly,116
937,x,poly,116
937,y,poly,116
945,x,poly,116
945,y,poly,116
959,x,poly,116
959,y,poly,116
969,x,poly,116
969,y,poly,116
979,x,poly,116
979,y,poly,116
993,x,poly,116
993,y,poly,116
1009,x,poly,116
1009,y,poly,116
1015,x,poly,116
1015,y,poly,116
1023,x,poly,116
1023,y,poly,116
1037,x,poly,116
1037,y,poly,116
1047,x,poly,116
1047,y,poly,116
1057,x,poly,116
1057,y,poly,116
1071,x,poly,116
1071,y,poly,116
1087,x,poly,116
1087,y,poly,116
1093,x,poly,116
1093,y,poly,116
1101,x,poly,116
1101,y,poly,116
1115,x,poly,116
1115,y,poly,116
1125,x,poly,116
1125,y,poly,116
1141,x,poly,116
1141,y,poly,116
1153,x,poly,116
1153,y,poly,116
1166,x,poly,116
1166,y,poly,116
1181,x,poly,116
1181,y,poly,116
1203,x,poly,116
1203,y,poly,116
1209,x,poly,116
1209,y,poly,116
1217,x,poly,116
1217,y,poly,116
1231,x,poly,116
1231,y,poly,116
1241,x,poly,116
1241,y,poly,116
1251,x,poly,116
1251,y,poly,116
1265,x,poly,116
1265,y,poly,116
1281,x,poly,116
1281,y,poly,116
1287,x,poly,116
1287,y,poly,116
1295,x,poly,116
1295,y,poly,116
1309,x,poly,116
1309,y,poly,116
1319,x,poly,116
1319,y,poly,116
1329,x,poly,116
1329,y,poly,116
1343,x,poly,116
1343,y,poly,116
1359,x,poly,116
1359,y,poly,116
1365,x,poly,116
1365,y,poly,116
